v_delta,s_delta,EgoSpeed,EgoStartS,CollisionDetected,Filename
40.0,60.0,108.0,25.0,True,log_416_of_416.txt
26.0,14.0,108.0,25.0,True,log_41_of_416.txt
28.0,14.0,108.0,25.0,True,log_42_of_416.txt
30.0,14.0,108.0,25.0,True,log_43_of_416.txt
32.0,14.0,108.0,25.0,True,log_44_of_416.txt
34.0,14.0,108.0,25.0,True,log_45_of_416.txt
36.0,14.0,108.0,25.0,True,log_46_of_416.txt
38.0,14.0,108.0,25.0,True,log_47_of_416.txt
40.0,14.0,108.0,25.0,True,log_48_of_416.txt
10.0,16.0,108.0,25.0,True,log_49_of_416.txt
16.0,10.0,108.0,25.0,True,log_4_of_416.txt
12.0,16.0,108.0,25.0,True,log_50_of_416.txt
14.0,16.0,108.0,25.0,True,log_51_of_416.txt
16.0,16.0,108.0,25.0,True,log_52_of_416.txt
18.0,16.0,108.0,25.0,True,log_53_of_416.txt
20.0,16.0,108.0,25.0,True,log_54_of_416.txt
22.0,16.0,108.0,25.0,True,log_55_of_416.txt
24.0,16.0,108.0,25.0,True,log_56_of_416.txt
26.0,16.0,108.0,25.0,True,log_57_of_416.txt
28.0,16.0,108.0,25.0,True,log_58_of_416.txt
30.0,16.0,108.0,25.0,True,log_59_of_416.txt
18.0,10.0,108.0,25.0,True,log_5_of_416.txt
32.0,16.0,108.0,25.0,True,log_60_of_416.txt
34.0,16.0,108.0,25.0,True,log_61_of_416.txt
36.0,16.0,108.0,25.0,True,log_62_of_416.txt
38.0,16.0,108.0,25.0,True,log_63_of_416.txt
40.0,16.0,108.0,25.0,True,log_64_of_416.txt
10.0,18.0,108.0,25.0,False,log_65_of_416.txt
12.0,18.0,108.0,25.0,True,log_66_of_416.txt
14.0,18.0,108.0,25.0,True,log_67_of_416.txt
16.0,18.0,108.0,25.0,True,log_68_of_416.txt
18.0,18.0,108.0,25.0,True,log_69_of_416.txt
20.0,10.0,108.0,25.0,True,log_6_of_416.txt
20.0,18.0,108.0,25.0,True,log_70_of_416.txt
22.0,18.0,108.0,25.0,True,log_71_of_416.txt
24.0,18.0,108.0,25.0,True,log_72_of_416.txt
26.0,18.0,108.0,25.0,True,log_73_of_416.txt
28.0,18.0,108.0,25.0,True,log_74_of_416.txt
30.0,18.0,108.0,25.0,True,log_75_of_416.txt
